appid,review,detail,review_num,review_response_num
244850,1,1,122816,748
1180320,1,1,47980,0
1423330,1,1,1173,105
1623730,1,1,1200,0
4700,1,1,30376,3
709470,1,1,8,0
3900,1,1,3034,0
3910,1,1,6512,0
3990,1,1,422,0
1369520,1,1,751,751
8930,1,1,196621,0
41300,1,1,1876,0
41660,1,1,17,0
41700,1,1,26811,0
41900,1,1,1280,2
42850,1,1,353,1
42950,1,1,23,0
42960,1,1,18438,0
44100,1,1,96,0
45450,1,1,571,0
45760,1,1,14315,0
46270,1,1,386,0
46370,1,1,534,0
46440,1,1,306,0
47130,1,1,8,0
47410,1,1,9057,7
47700,1,1,3524,0
47780,1,1,22981,0
48150,1,1,18,0
49320,1,1,60,0
50000,1,1,251,0
50130,1,1,51944,0
50920,1,1,21,0
50970,1,1,73,0
50990,1,1,124,0
56437,1,1,11704,0
57900,1,1,10238,0
60600,1,1,61,0
61310,1,1,210,0
63200,1,1,1152,0
63800,1,1,420,0
63910,1,1,1284,0
65070,1,1,127,0
65200,1,1,90,0
65300,1,1,2271,0
71116,1,1,12,0
71119,1,1,7,0
71340,1,1,23238,0
72900,1,1,258,0
73020,1,1,1430,0
80200,1,1,425,0
93200,1,1,1185,0
98600,1,1,288,0
98800,1,1,5170,1
102200,1,1,380,0
102600,1,1,7657,0
104900,1,1,28664,1
221260,1,1,11901,0
222140,1,1,484,0
224860,1,1,930,0
224900,1,1,1109,0
225420,1,1,2449,0
225600,1,1,4707,13
226740,1,1,1185,0
227000,1,1,3149,1501
227780,1,1,3315,1
228280,1,1,14951,128
228300,1,1,15289,0
229870,1,1,851,0
230190,1,1,7464,823
231040,1,1,1163,0
231740,1,1,3163,0
232050,1,1,2671,2
233230,1,1,1704,0
233840,1,1,3058,0
234900,1,1,1437,2
234940,1,1,1549,0
235210,1,1,3795,0
235520,1,1,338,9
237550,1,1,420,0
237850,1,1,4340,19
238870,1,1,476,0
239820,1,1,41737,17
240660,1,1,161,0
241760,1,1,280,0
242880,1,1,3853,0
242920,1,1,40918,0
244030,1,1,1970,7
244590,1,1,1145,0
244950,1,1,174,0
245170,1,1,29493,1
245470,1,1,7218,2
245490,1,1,2222,0
246820,1,1,24,0
247020,1,1,5449,0
247660,1,1,4115,0
248190,1,1,439,0
248450,1,1,225,3
248570,1,1,16319,3
249650,1,1,3625,0
249930,1,1,60,0
250420,1,1,4371,0
250540,1,1,96,0
250580,1,1,1412,0
251910,1,1,308,0
251950,1,1,3579,165
252170,1,1,508,0
252250,1,1,1046,8
252830,1,1,393,0
253980,1,1,6269,0
254100,1,1,540,0
254200,1,1,2929,23
254880,1,1,156,0
255163,1,1,34,0
257750,1,1,3956,7
257870,1,1,89,0
258590,1,1,494,0
107600,1,1,1449,0
108710,1,1,44388,0
110630,1,1,46,0
115120,1,1,1084,0
115200,1,1,554,98
200150,1,1,343,0
200490,1,1,181,0
200900,1,1,7246,0
200910,1,1,1402,0
202410,1,1,140,0
202970,1,1,44213,0
204360,1,1,108223,2
204630,1,1,2352,0
204880,1,1,15445,8
205070,1,1,90,0
205550,1,1,309,0
205710,1,1,2071,0
206060,1,1,68,0
207320,1,1,1762,0
207610,1,1,66710,1
207730,1,1,391,0
207790,1,1,382,0
208400,1,1,1151,0
208650,1,1,117666,0
209750,1,1,165,0
211204,1,1,3,0
211800,1,1,143,0
211900,1,1,317,0
212680,1,1,70672,0
213670,1,1,60349,3
214700,1,1,1765,0
216090,1,1,567,0
216130,1,1,161,0
216330,1,1,9,0
219740,1,1,105888,0
221100,1,1,182799,0
258760,1,1,1813,0
259620,1,1,486,12
259640,1,1,214,0
259680,1,1,6227,7
259700,1,1,223,0
259810,1,1,371,0
259940,1,1,82,0
260000,1,1,80,0
260130,1,1,372,0
260160,1,1,909,3
260330,1,1,196,0
260380,1,1,37,3
260930,1,1,337,0
261640,1,1,38183,0
262150,1,1,2854,2
262280,1,1,5034,1
262830,1,1,2865,0
262850,1,1,520,1
262900,1,1,277,1
263320,1,1,524,0
263480,1,1,148,5
264320,1,1,171,0
264380,1,1,4428,0
265550,1,1,17245,0
265610,1,1,3011,4
266490,1,1,970,0
266980,1,1,18,0
267730,1,1,51,1
267960,1,1,415,0
268240,1,1,780,0
268520,1,1,68,0
269210,1,1,39956,68
269270,1,1,1148,0
269330,1,1,870,0
269490,1,1,1481,1
270050,1,1,697,0
270130,1,1,1514,7
270270,1,1,544,0
270510,1,1,147,0
270770,1,1,217,0
271990,1,1,63,0
273070,1,1,488,0
273750,1,1,206,0
273770,1,1,662,1
273890,1,1,58,0
274500,1,1,5150,33
275180,1,1,888,0
275390,1,1,6458,0
275490,1,1,1912,0
275830,1,1,112,0
275850,1,1,18400,0
276440,1,1,53,1
277590,1,1,2237,0
278570,1,1,346,0
279260,1,1,410,0
279800,1,1,1237,0
279920,1,1,131,0
280160,1,1,12287,9
281350,1,1,94,0
281990,1,1,394,0
282010,1,1,826,0
282440,1,1,12300,0
283080,1,1,433,0
283330,1,1,252,0
283620,1,1,620,0
284050,1,1,1074,0
284460,1,1,1400,1
284710,1,1,1410,0
284830,1,1,1087,0
285900,1,1,396,0
286220,1,1,122,0
286360,1,1,719,26
286520,1,1,47,0
287290,1,1,882,0
287600,1,1,276,0
287720,1,1,200,0
287740,1,1,28,0
287900,1,1,0,0
287920,1,1,2934,51
288140,1,1,889,0
288390,1,0,152,0
288570,1,0,2217,0
288880,1,1,610,0
288930,1,1,647,0
289090,1,1,982,0
289300,1,1,1001,0
289460,1,1,412,0
289520,1,1,1641,0
289620,1,1,832,0
289760,1,1,542,0
289890,1,1,434,0
290180,1,1,20,2
290340,1,1,300,1
290380,1,1,171,0
290440,1,1,47,0
290460,1,1,49,0
290650,1,1,386,0
290690,1,1,523,1
291250,1,1,165,8
291390,1,1,175,0
291430,1,1,47,0
291910,1,1,571,0
291930,1,1,236,0
292240,1,1,175,0
293340,1,1,161,1
293540,1,1,1695,0
294060,1,1,131,0
294190,1,1,25,0
294390,1,1,81,0
294440,1,1,673,0
294580,1,1,56,0
294590,1,1,324,0
294750,1,1,597,0
294770,1,1,84,0
295910,1,1,99,0
296630,1,1,662,0
297020,1,1,3416,0
297110,1,1,1066,0
297120,1,1,1477,0
297130,1,1,2800,0
297330,1,1,147,0
297490,1,1,303,0
298850,1,1,59,0
299050,1,1,510,0
299070,1,1,269,0
299250,1,1,709,0
299460,1,1,5511,46
299840,1,1,63,0
300620,1,1,34,0
300910,1,1,32,0
300970,1,1,723,0
301420,1,1,50,0
302290,1,1,17,1
303290,1,1,631,1
303430,1,1,571,4
303870,1,1,61,0
304530,1,1,4656,0
304670,1,1,413,0
304910,1,1,243,0
305700,1,1,18,1
305980,1,1,357,0
306130,1,1,700,0
306930,1,1,84,0
307340,1,1,517,0
307350,1,1,466,0
307560,1,1,15,0
307580,1,1,1472,0
307690,1,1,800,0
307920,1,1,36,0
307940,1,1,571,0
307990,1,1,82,0
308000,1,1,377,3
308400,1,1,2,0
308440,1,1,94,0
308560,1,1,43,0
310510,1,1,2090,0
310870,1,1,104,0
311310,1,1,12120,24
311340,1,1,15798,0
311560,1,1,15343,9
311680,1,1,108,0
312200,1,1,2303,4
312220,1,1,41,4
312440,1,1,44,0
312790,1,1,234,0
312840,1,1,5839,0
312900,1,1,130,0
312920,1,1,173,0
312980,1,1,934,0
313810,1,1,317,0
313830,1,1,355,0
314010,1,1,740,0
314360,1,1,120,0
314510,1,1,171,0
314790,1,1,2443,0
314830,1,1,1141,0
315070,1,1,163,0
315080,1,1,45,12
315110,1,1,116,0
315340,1,1,196,0
316370,1,1,91,7
316430,1,1,2041,13
316660,1,1,84,0
316840,1,1,83,0
317080,1,1,79,1
317440,1,1,166,2
318100,1,1,2270,13
318440,1,1,51,0
318480,1,1,48,0
319320,1,1,418,0
319760,1,1,477,0
319780,1,1,173,0
319870,1,1,1204,0
320240,1,1,12639,20
321150,1,1,738,0
321400,1,1,3240,28
321560,1,1,172,0
321960,1,1,6200,19
324750,1,1,109,0
324810,1,1,5641,33
325260,1,1,1241,2
326180,1,1,1554,0
326650,1,1,51,0
327310,1,1,313,0
327450,1,1,76,0
327520,1,1,103,0
327860,1,1,2236,6
328460,1,1,99,0
328640,1,1,53,0
329130,1,1,3805,0
329980,1,1,48,0
330270,1,1,284,0
330460,1,1,648,85
330990,1,1,504,0
331160,1,1,2198,0
331340,1,1,249,0
331750,1,1,974,0
331870,1,1,6887,5
332310,1,1,15036,1
332400,1,1,221,0
332490,1,1,357,27
332570,1,1,9677,0
332950,1,1,17757,49
333210,1,1,305,0
333300,1,1,1432,5
333540,1,1,43,0
333580,1,1,17,0
333660,1,1,120,0
333730,1,1,42,0
334040,1,1,2111,0
334420,1,1,1626,1
334940,1,1,4398,7
335090,1,1,38,0
335300,1,1,99867,0
335450,1,1,24,0
335900,1,1,63,8
336420,1,1,617,0
336440,1,1,448,1
337040,1,1,154,0
338060,1,1,387,0
338130,1,1,260,1
338330,1,1,71,0
338640,1,1,95,0
339250,1,1,28,0
339350,1,1,1976,0
339570,1,1,161,0
339690,1,1,29,0
340220,1,1,146,1
340450,1,1,53,2
340600,1,1,42,0
341170,1,1,161,3
341680,1,1,58,0
341760,1,1,46,0
342250,1,1,3,0
342310,1,1,1648,13
342450,1,1,124,0
342490,1,1,213,1
342860,1,1,151,0
343410,1,1,10,0
343810,1,1,66,0
344130,1,1,371,1
344190,1,1,294,2
344500,1,1,217,0
345020,1,1,49,4
345260,1,1,1982,0
345280,1,1,89,0
345290,1,1,21,0
345430,1,1,785,46
345750,1,1,171,0
345820,1,1,2659,0
345860,1,1,497,7
345950,1,1,0,0
346010,1,1,46722,11
346090,1,1,65,1
346470,1,1,692,74
346550,1,1,70,1
346630,1,1,392,0
346770,1,1,61,0
346900,1,1,57054,0
346970,1,1,440,4
347590,1,1,195,0
347720,1,1,655,0
349300,1,1,121,1
349530,1,1,29,0
349690,1,1,70,0
349840,1,1,43,3
350010,1,1,753,0
350550,1,1,28,0
350780,1,1,207,0
350910,1,1,691,0
351080,1,1,90,0
351340,1,1,732,0
351420,1,1,51,0
351910,1,1,1267,0
352050,1,1,20,0
352120,1,1,88,0
352720,1,1,8957,59
352900,1,1,49,0
353330,1,1,1349,0
353600,1,1,23,0
353640,1,1,3152,2
354770,1,1,23,0
354970,1,1,91,0
355460,1,1,37,0
355690,1,1,24,0
355790,1,1,5219,0
356400,1,1,3985,1
356420,1,1,390,0
356580,1,1,133,0
356730,1,1,21,0
356890,1,1,263,0
357070,1,1,2930,0
357780,1,1,1068,0
357830,1,1,59,0
357840,1,1,47,0
358230,1,1,55,0
358290,1,1,155,0
358760,1,1,18,0
358960,1,1,275,0
359300,1,1,8,0
359320,1,1,92229,2028
359400,1,1,400,1
359420,1,1,51,0
359560,1,1,212,1
359610,1,1,910,0
359670,1,1,40,0
359800,1,1,2631,0
360010,1,1,108,0
360550,1,1,212,0
360970,1,1,321,0
361330,1,1,46,0
361380,1,1,240,0
361430,1,1,35,0
362860,1,1,144,10
362960,1,1,12128,0
363050,1,1,69,0
363680,1,1,5641,15
363860,1,1,435,49
363920,1,1,35,5
364060,1,1,37,0
364130,1,1,21,0
364200,1,1,112,2
364380,1,1,124,0
364500,1,1,0,0
364660,1,1,5,0
364910,1,1,294,0
365110,1,1,72,0
365320,1,1,126,0
365340,1,1,36,0
365450,1,1,23957,37
365620,1,1,64,0
366090,1,1,7448,32
366260,1,1,888,0
366280,1,1,208,0
366380,1,1,122,0
366410,1,1,20,0
366510,1,1,129,0
366570,1,1,11,0
366690,1,1,646,20
366800,1,1,238,0
367000,1,1,442,4
367570,1,1,934,0
367580,1,1,8775,1
368070,1,1,17511,1
368700,1,1,25,0
368730,1,1,2435,0
368890,1,1,122,0
369270,1,1,35,0
369550,1,1,205,0
370080,1,1,88,0
370270,1,1,65,0
370310,1,1,112,0
370750,1,1,5,0
370920,1,1,108,0
371220,1,1,131,5
371300,1,1,169,7
371360,1,1,21,0
371400,1,1,15,0
371700,1,1,4,0
371890,1,1,118,0
372570,1,1,16,0
372670,1,1,28,0
373140,1,1,38,0
373290,1,1,107,3
373650,1,1,160,0
374320,1,1,77499,0
374510,1,1,42,2
375010,1,1,307,0
375040,1,1,85,0
375170,1,1,40,0
375200,1,1,1075,0
375320,1,1,315,1
375530,1,1,3800,263
375910,1,1,5627,21
376210,1,1,22800,0
376560,1,1,134,0
377140,1,1,636,0
377470,1,1,164,0
377680,1,1,1442,0
377690,1,1,249,0
378390,1,1,7,0
378610,1,1,6508,6
378750,1,1,152,0
378830,1,1,55,0
380650,1,1,3,0
380950,1,1,24,0
381170,1,1,82,2
381260,1,1,196,2
381750,1,1,242,0
382080,1,1,431,5
382380,1,1,180,0
383240,1,1,29,4
383670,1,1,37,0
383690,1,1,192,0
383840,1,1,2002,133
384120,1,1,54,0
384200,1,1,133,3
384570,1,1,992,0
384990,1,1,94,0
385030,1,1,61,3
385360,1,1,124,0
385840,1,1,25,0
385850,1,1,11,0
385900,1,1,57,0
386180,1,1,59379,1906
386510,1,1,161,0
387010,1,1,193,2
387930,1,1,448,0
388210,1,1,4143,0
388490,1,1,325,0
388660,1,1,65,1
388720,1,1,51,0
389190,1,1,82,2
390870,1,1,108,0
391220,1,1,11700,0
391910,1,1,26,0
392030,1,1,111,0
392260,1,1,245,0
392930,1,1,68,0
393540,1,1,7,0
393930,1,1,433,0
394290,1,1,109,0
394550,1,1,119,0
394700,1,1,361,0
394720,1,1,25,0
395270,1,1,380,3
395930,1,1,110,0
396090,1,1,252,0
396320,1,1,56,2
396640,1,1,371,1
396800,1,1,529,0
396860,1,1,202,1
396930,1,1,20,0
397100,1,1,887,0
397440,1,1,80,0
397660,1,1,20,0
397740,1,1,4610,0
397760,1,1,81,0
397800,1,1,31,0
398100,1,1,577,3
398110,1,1,24,0
398150,1,1,89,0
398900,1,1,1,0
398920,1,1,49,0
399140,1,1,64,1
399820,1,1,2714,17
399900,1,1,32,0
400370,1,1,390,0
400470,1,1,131,2
400630,1,1,4200,23
400880,1,1,37,0
400910,1,1,795,0
401330,1,1,72,0
401820,1,1,134,0
402150,1,1,51,0
402390,1,1,356,0
402620,1,1,1251,0
402750,1,1,518,0
403090,1,1,48,0
403100,1,1,60,0
403120,1,1,2313,0
403190,1,1,9271,437
403230,1,1,25,0
403460,1,1,24,0
404040,1,1,447,0
404050,1,1,168,1
404640,1,1,247,13
404750,1,1,13,0
405070,1,1,11,0
405240,1,1,26,0
405640,1,1,5600,0
406290,1,1,2596,1
406870,1,1,783,0
407300,1,1,718,0
407380,1,1,53,0
407710,1,1,71,0
408250,1,1,384,0
408440,1,1,86,0
408760,1,1,387,0
409170,1,1,58,0
409420,1,1,62,0
409600,1,1,328,0
409630,1,1,37,2
409890,1,1,605,0
410130,1,1,78,0
410430,1,1,680,0
411630,1,1,15,0
411740,1,1,80,0
412050,1,1,393,0
412620,1,1,192,0
412790,1,1,226,0
413760,1,1,38,1
414530,1,1,4233,58
415180,1,1,115,0
415480,1,1,929,0
415670,1,1,118,0
415830,1,1,314,0
416000,1,1,328,16
416110,1,1,148,0
416200,1,1,44,0
416220,1,1,12,0
416340,1,1,34,0
416640,1,1,121,0
416720,1,1,58,0
417130,1,1,0,0
417900,1,1,32,0
418040,1,1,735,0
418160,1,1,71,0
418190,1,1,797,0
418340,1,1,11548,0
418360,1,1,93,0
418910,1,1,178,0
419020,1,1,27,0
419480,1,1,3451,173
419700,1,1,44,0
420110,1,1,7600,0
420210,1,1,249,0
420920,1,1,59,0
421710,1,1,62,0
